Year,Director,Title
1925,"Eisenstein, Sergei M.",Battleship Potemkin
1927,"Lang, Fritz",Metropolis
1934,"Capra, Frank",It Happened One Night
1934,"Van Dyke, W. S.",Thin Man
1938,"Hawks, Howard",Bringing Up Baby
1939,"Capra, Frank",Mr. Smith Goes to Washington
1939,"Lubitsch, Ernst",Ninotchka
1940,"Cukor, George",Philedelphia Story
1940,"Hawks, Howard",His Girl Friday
1942,"Curtiz, Michael",Casablanca
1942,"Seiter, William A.",You Were Never Lovelier
1943,"Cummings, Irving",What A Woman!
1943,"Powell, Michael",Life and Death of Colonel Blimp
1944,"Minnelli, Vincente",Meet Me in St. Louis
1945,"Lean, David",A Brief Encounter
1946,"Capra, Frank",It's a Wonderful Life
1946,"Hawks, Howard",Big Sleep
1946,"Wyler, William",Best Years of Our Lives
1947,"Erskine, Chester",Egg and I
1948,"Hitchcock, Alfred ",Rope
1949,"Reed, Carol",Third Man
1950,"Kurosawa, Akira ",Rashomon
1950,"Mankiewicz, Joseph",All About Eve
1951,"Hitchcock, Alfred ",Strangers on a Train
1951,"Minnelli, Vincente",An American in Paris
1951,"Wilder, Billy ",Ace in the Hole
1952,"Donen, Stanley, Kelly, Gene",Singin' in the Rain
1954,"Hitchcock, Alfred ",Rear Window
1954,"Kurosawa, Akira ",Seven Samurai
1954,"Ray, Nicholas",Johnny Guitar
1955,"Bergman, Ingmar",Smiles of a Summer Night
1955,"Laughton, Charles",Night of the Hunter
1955,"Lean, David",Summertime
1955,"Sirk, Douglas",All That Heaven Allows
1957,"Bergman, Ingmar",Seventh Seal
1957,"Donen, Stanley",Funny Face
1957,"Kubrick, Stanley",Paths of Glory
1957,"Lumet, Sidney",12 Angry Men
1958,"Eisenstein, Sergei; Filimonova, M.","Ivan the Terrible, I & II"
1958,"Hitchcock, Alfred ",Vertigo
1958,"Tati, Jacques",Mon Oncle
1959,"Sirk, Douglas",Imitation of Life
1959,"Wilder, Billy ",Some Like It Hot
1959,"Wyler, William",Ben Hur
1960,"Crichton, Charles",Battle of the Sexes
1960,"Fellini, Federico",La Dolce Vita
1960,"Hitchcock, Alfred ",Psycho
1960,"Kubrick, Stanley",Spartacus
1960,"Wilder, Billy ",Apartment
1961,"Kurosawa, Akira ",Yojimbo
1962,"Kobayashi, Masaki",Harakiri
1962,"Lean, David",Lawrence of Arabia
1962,"Truffaut, François",Jules et Jim
1962,"Varda, Agnes ",Cleo from 5 to 7
1963,"Bergman, Ingmar",Winter Light
1963,"Fellini, Federico",8 1/2
