Date,Author,Title,Hyperlink,DDC
-300,Epicurus,Lettres et maximes,,LETT
-44,Cicero,On Duties,,PHIL
180,"Laertius, Diogenes",The Loeb Classical Library [185]: Lives of Eminent Philosophers II,,BIOG
180,"Laertius, Diogenes",The Loeb Classical Library [184]: Lives of Eminent Philosophers I,,BIOG
524,"Chadwick, Henry","Boethius: the Consolations of Music, Logic, Theology, and Philosophy",https://archive.org/details/boethiusconsolat0000chad/page/n5/mode/1up,PHIL
1320,"Alighieri, Dante",The Divine Comedy,,POET
1509,"Erasmus, Desiderius",Erasmus on his times,,ESSA
1509,"Erasmus, Desiderius",In Praise of Folly,,ESSA
1590,"Donne, John",John Donne: A Selection of His Poetry,,POET
1604,"Greg, Walter Wilson",Wit of a Woman,https://archive.org/details/witofwoman160400greg/page/n21/mode/2up,DRAM
1719,"Defoe, Daniel",Robinson Crusoe,,LITE
1742,"Fielding, Henry",Joseph Andrews,,LITE
1749,"Fielding, Henry",Tom Jones,,LITE
1759,"Johnson, Samuel","Rasselas, Poems, and Selected Prose (including letters and biographies)",,ESSA
1776,"Gibbon, Edward",The Decline and Fall of the Roman Empire,,HIST
1778,"Gibbon, Edward",Autobiography of Edward Gibbon,,BIOG
1785,"Kant, Immanuel",Fundamental Principles of the Metaphysic of Morals (tr. Thomas Kingsmill Abbott),https://www.gutenberg.org/cache/epub/5682/pg5682-images.html,PHIL
1787,"Kant, Immanuel",The Critique of Pure Reason (tr. Thomas Kingsmill Abbott),https://www.gutenberg.org/cache/epub/5683/pg5683-images.html,PHIL
1794,"Fichte, Johann Gottlieb","Fichte, early philsophical writings",,PHIL
1807,"Hegel, Georg Wilhelm Friedrich",Phenomenology of Spirit,,PHIL
1808,"Goethe, Johann Wolfgang von",Faust ,,LITE
1831,"Carlyle, Thomas",Sartor Resartus: The Life and Opinions of Herr Teufelsdrock,https://www.gutenberg.org/cache/epub/1051/pg1051-images.html,ESSA
1835,"de Tocqueville, Alexis",Democracy in America,,HIST
1835,"Isaacson, Walter",The Wise Men,,HIST
1835,"Gogol, Nikolai Vasilevich",Taras Bulba,,LITE
1835,"Gogol, Nikolai Vasilevich",Diary of a Madman; The Nose; The Overcoat; How Ivan Ivanovich Quarrelled with Ivan Nikiforovich; Ivan Fyodorovich Shponka and his Aunt,,LITE
1836,"Emerson, Ralph Waldo","Essays (History, Self-Reliance, Friendship, Love, Heroism)",https://www.gutenberg.org/cache/epub/2944/pg2944-images.html,ESSA
1841,"Carlyle, Thomas","On Heroism, Hero-Worship, and the Heroic in History",https://www.gutenberg.org/cache/epub/1091/pg1091-images.html,ESSA
1842,"Dickens, Charles",American Notes; Pictures from Italy,,ESSA
1842,"Gogol, Nikolai Vasilevich",Dead Souls,,LITE
1845,"Douglass, Frederick",Narrative of the Life of Frederick Douglass,,BIOG
1845,"Heidegger, Martin",Basic writings from 'Being and time' (1927) to 'The task of thinking' (1964),,PHIL
1846,"Herbert, George",The Works of George Herbert in Prose and Verse,,POET
1850,"Emerson, Ralph Waldo",Representative Men,https://www.gutenberg.org/cache/epub/6312/pg6312-images.html,ESSA
1850,"Emerson, Ralph Waldo",Representative Men,,ESSA
1852,"Hawthorne, Nathaniel",The Blithedale Romance,,LITE
1858,"Holmes, O. W.",The Autocrat of the Breakfast Table,,LITE
1859,"Khayyam, Omar",The Rubaiyat of Omar Khayyam,,LITE
1861,"Holmes, Oliver Wendell",Elsie Venner,,LITE
1871,"Emerson, Ralph Waldo",The Conduct of Life,https://www.gutenberg.org/cache/epub/39827/pg39827-images.html,PHIL
1873,"Butler, Samuel",The Way of All Flesh,,BIOG
1877,"Lamb, Charles",The Essays of Elia,,ESSA
