Date,Author,Title,Link
1871,"Emerson, Ralph Waldo",The Conduct of Life,https://www.gutenberg.org/cache/epub/39827/pg39827-images.html
1953,"Abrams, M. H.",The Mirror and the Lamp: Romantic Theory and the Critical Tradition,https://archive.org/details/mirrorlampromant00abrarich/page/7/mode/1up
1898,"Addison, Joseph",Essays of Joseph Addison,https://archive.org/details/in.ernet.dli.2015.95395/page/n13/mode/1up
1959,Aeschylus,The Oresteian Trilogy,
1912,Aesop,Aesop's Fables,
1320,"Alighieri, Dante",The Divine Comedy,
1963,"Allen, Dulles",The Craft of Intelligence,
1952,"Anderson, R. C.",Naval Wars in the Levant (1559-1853),
1957,"Andrews, Elmer",Contemporary Irish poetry,
2013,"Anselm, Saint",Proslogion,
1952,"Aquinas, Saint Thomas",Great Books of the Western World [19]: The Summa Theologica (Volume I: First part and Part I of the second part),
1964,"Arendt, Hannah",Eichmann in Jerusalem,
1964,Aristophanes,The Wasps; The Poet and the Women; The Frogs,
2002,Aristophanes,"Lysistrata and Other Plays (Acharnians, Clouds)",
2012,Aristotle,The Art of Rhetoric,
1965,Aristotle; Horace; Longinus,Classical Literary Criticism (Aristotle's On the Art of Poetry; Horace's On the Art of Poetry; Longinus' On the Sublime),
1895,"Arnold, Matthew",Selected Poems of Matthew Arnold,
1969,"Auden, W. H.","Collected shorter poems, 1927-1957",
1983,"Auden, W. H.; Pearson, N. H (Ed.)",The Oxford Library of World's Great Books: Romantic Poets: William Blake to Edgar Allan Poe,
397,"Augustine, Saint",Confessions of St Augustine,
1950,"Augustine, Saint",The City of God,
1952,"Augustine, Saint",Great Books of the Western World [18]: The Confessions; The City of God; On Christian Doctrine,
2007,"Austen, Jane",Emma,
1813,"Austen, Jane",Pride and Prejudice,
1984,Avicenna,Remarks and admonitions,
1597,"Bacon, Sir Francis",Bacon's Essays including his Moral and Historical Works,
1963,"Bacons, Sir Francis; Swift, J.; Hume, Plutarch, Stevenson, Ruskin, William James, Schopoenhauer, Faraday, Burke, Calhoun, Macaulay, Voltaire, Alighieri, Rousseau, Kant, Clausewitz, Malthus (Ed. by Hutchins, R. M., Adler, M. J)",Gateway to the Great Books [7]: Man and Society,
1739,"Baumgarten, Alexander",Metaphysics: a critical translation with Kant's elucidations...,
1739,"Baumgarten, Alexander Gottlieb",Metaphysics,
1942,"Beadnell, C. M.",Thinker's Library [89]: The Origin of the Kiss and Other Scientific Diversions,
1964,"Beaumarchais, Caron de",The Berber of Seville; The Marriage of Seville,
1952,"Beckett, Samuel",Waiting for Godot,
1953,"Beckett, Samuel",Endgame,
1956,"Benchley, Nathaniel",The Benchley Roundup,
1948,"Berenson, Bernard",Aesthetics and History,
1963,"Berlin, Isaiah",Karl Marx: His life and environment,
1910,"Birrell, Augustine",Obiter Dicta,
1984,"Blainey, Geoffrey",All for Australia,
1991,"Blainey, Geoffrey","Blainey, eye on Australia",
1958,"Blake, William",A Selection of Poems and Letters,
1987,"Bloom, Allan",The Closing of the American Mind: How Higher Education has Failed Demoracy and Impoverished the Soul of Today's Students,
1975,"Bloom, Harold",A map of misreading,
1976,"Bloom, Harold",Figures of capable imagination,
1998,"Bloom, Harold",Shakespeare: the invention of the human,
2000,"Bloom, Harold",How to read and why,
1938,"Boaz, Franz",The Mind of Primitive Man,
1625,"Böhme, Jakob",The Way to Christ,
1552,"Boorde, Andrew",The Breviary of Health,
1960,"Boswell, James",The Life of Samuel Johnson,
1969,"Bouyer, Louis",A History of Christian Spirituality,
1986,"Bouyer, Louis",The Christian mystery: from pagan myth to Christian mysticism,
1966,"Brecht, Bertolt",Manual of Piety,
2007,"Brocheux, Pierre",Ho Chi Minh: A biography (choose only one biography),
2009,Brontë,Jane Eyre; Wuthering Heights; Agnes Grey; The Professor,
1955,"Brooke, Rupert (Ed. by Geoffrey Keynes)",The Poetical Works of Rupert Brooke,
1929,"Brooke, Tucker (ed.); De la Mare, Walter (introduction)",The Shakespeare Songs,
1918,"Browne, Henry",Our Renaissance: Essays on the Reform and Revival of Classical Studies,
2001,"Browning, Christopher R.",Ordinary Men,
1992,"Bruce, Steve",Religion and modernisaton,
1990,"Bryson, Bill",Mother Tongue: The English Language,
1923,"Bulgakov, Mikhail",Heart of a Dog,
1925–1926,"Bulgakov, Mikhail",A Country Doctor's notebook,
n.d.,"Bulgakov, Mikhail",Master and Margarita,
1869,"Bunyan, John","Pilgrim's Progress, from This World to that which is to come",
1996,"Burgess, Anthony",A Clockwork Orange,
1880,"Burke, Edmund",The Works of Edmund Burke: Volume I (A Vindication of Natural Society; An Essay on the Sublime and Beautiful),
1969,"Burke, Edmund",Reflections on the Revolution in France,
1890s,"Burrell, Arthur (Selected by)",English Lyrical Verse,
1903,"Butler, Samuel",The Way of All Flesh,
1990,"Byatt, A. S.",Possession: A Romance,
1974,"Byron, Lord",A Choice of Byron's Verse,
1969,"Caesar, Julius","The Gallic War and Other Writings (Civil War; Alexandrine, African, and Spanish Wars; Fragments)",
1946,"Campbell, Charles",The Hidden Strings,
1955,"Camus, Albert",The Myth of Sisyphus,
1982,"Camus, Albert",The Outsider,
2009,"Camus, Albert",The Plague,
1914,"Cantle, James",First Aid to the Injured,
1891,"Carlyle, Thomas",Sartor Resartvs,
1971,"Carlyle, Thomas",On Great Men,
1837,"Carlyle, Thomas",The French Revolution: A History,
1934,"Carnap, Rudolf","Psyche Miniatures, General Series No. 63: The Unity of Science",
1984,"Carroll, Lewis",The Complete Illustrated Works of Lewis Carroll,
circa 430,"Cassian, John",Conferences,
1918,"Cather, Willa",My Antonia,
