Date,Artist,Album,Hyperlink,Genre
1888,"Mahler, Gustave",Symphony 2,,Classical
1901,"Mahler, Gustave",Symphony 5,,Classical
1903,"Mahler, Gustave",Symphony 6,,Classical
1906,"Mahler, Gustave",Symphony 8,,Classical
1908,"Mahler, Gustave",Symphony 9,,Classical
1910,"Mahler, Gustave",Symphony 10,,Classical
1908,"Mahler, Gustave",Das Lied von der Erde,,Classical
1799,"Beethoven, Ludwig van",Symphony 1,,Classical
1801,"Beethoven, Ludwig van",Symphony 2,,Classical
1803,"Beethoven, Ludwig van","Symphony 3 ""Eroica""",,Classical
1806,"Beethoven, Ludwig van",Symphony 4 ,,Classical
1807,"Beethoven, Ludwig van","Symphony 5 ""Fate""",,Classical
1807,"Beethoven, Ludwig van","Symphony 6 ""Pastoral""",,Classical
1811,"Beethoven, Ludwig van",Symphony 7,,Classical
1822,"Beethoven, Ludwig van","Symphony 9 ""Choral""",,Classical
1795,"Beethoven, Ludwig van",Concerto: piano 1,,Classical
1788,"Beethoven, Ludwig van",Concerto: piano 2,,Classical
1800,"Beethoven, Ludwig van",Concerto: piano 3,,Classical
1804,"Beethoven, Ludwig van",Concerto: piano 4,,Classical
1809,"Beethoven, Ludwig van",Concerto: piano 5,,Classical
1806,"Beethoven, Ludwig van",Concerto: violin 1,,Classical
1813,"Beethoven, Ludwig van",Wellington's Victory,,Classical
1782,"Beethoven, Ludwig van",Piano sonatas,,Classical
1725,"Bach, Johann Sebastian ",Cantatas,,Classical
1724,"Bach, Johann Sebastian ",Mass: Mass in B minor,,Classical
1724,"Bach, Johann Sebastian ",Mass: St John Passion,,Classical
1720,"Bach, Johann Sebastian ",Inventions and sinfonias,,Classical
1722,"Bach, Johann Sebastian ",French Suites,,Classical
1722,"Bach, Johann Sebastian ",Well-Tempered Clavier,,Classical
1710,"Bach, Johann Sebastian ",Preludes and Fugues,,Classical
1713,"Bach, Johann Sebastian ",Piano concertos (concerto for solo keyboard),,Classical
1741,"Bach, Johann Sebastian ",Goldberg Variations,,Classical
1720,"Bach, Johann Sebastian ",Cello suites,,Classical
1725,"Bach, Johann Sebastian ",Harpischord concertos,,Classical
1721,"Bach, Johann Sebastian ",Brandenburg concertos,,Classical
1713,"Bach, Johann Sebastian ",Canons,,Classical
1768,"Mozart, Wolfgang Amadeus",Mass: Missa Brevis,,Classical
1791,"Mozart, Wolfgang Amadeus",Requiem,,Classical
1785,"Mozart, Wolfgang Amadeus",Opera: The Marriage of Figaro,,Classical
1787,"Mozart, Wolfgang Amadeus",Opera: Don Giovanni,,Classical
1788,"Mozart, Wolfgang Amadeus","Symphony 41 ""Jupiter""",,Classical
1773,"Mozart, Wolfgang Amadeus",Symphony 25,,Classical
1786,"Mozart, Wolfgang Amadeus","Symphony 38 ""Prague""",,Classical
1788,"Mozart, Wolfgang Amadeus",Symphony 40,,Classical
1788,"Mozart, Wolfgang Amadeus",Symphony 39,,Classical
1774,"Mozart, Wolfgang Amadeus",Symphony 29,,Classical
1778,"Mozart, Wolfgang Amadeus",Symphony 31,,Classical
1782,"Mozart, Wolfgang Amadeus",Symphony 35,,Classical
1783,"Mozart, Wolfgang Amadeus",Symphony 36,,Classical
1771,"Mozart, Wolfgang Amadeus",Symphony 11,,Classical
1772,"Mozart, Wolfgang Amadeus",Symphony 15,,Classical
1771,"Mozart, Wolfgang Amadeus",Symphony 12,,Classical
1785,"Mozart, Wolfgang Amadeus",Concerto: piano 20,,Classical
1784,"Mozart, Wolfgang Amadeus",Concerto: piano 19,,Classical
1791,"Mozart, Wolfgang Amadeus",Concerto: piano 27,,Classical
1786,"Mozart, Wolfgang Amadeus",Concerto: piano 23,,Classical
1784,"Mozart, Wolfgang Amadeus",Concerto: piano 17,,Classical
1786,"Mozart, Wolfgang Amadeus",Concerto: piano 25,,Classical
1785,"Mozart, Wolfgang Amadeus",Concerto: piano 22,,Classical
1786,"Mozart, Wolfgang Amadeus",Concerto: piano 24,,Classical
1785,"Mozart, Wolfgang Amadeus",Concerto: piano 21,,Classical
1775,"Mozart, Wolfgang Amadeus",Concerto: violin 3,,Classical
1791,"Mozart, Wolfgang Amadeus",Concerto: clarinet ,,Classical
1777,"Mozart, Wolfgang Amadeus",Concerto: oboe,,Classical
1779,"Mozart, Wolfgang Amadeus",Concerto: Sinfonia concertante,,Classical
1774,"Mozart, Wolfgang Amadeus",Sonatas,,Classical
2014,Run The Jewels,Run The Jewels 2,,Rap
2016,Run The Jewels,Run The Jewels 3,,Rap
2020,Run The Jewels,Run The Jewels 4,,Rap
